166308389,1,8,13,0,1174
166329845,39,14,1,1,3
166330199,4,1,1,0,0
166332979,191,186,6301,0,1181
166333704,2,11,7,0,143
166339500,1,16,1,0,0
166345495,224,344,2210,0,1055
166346467,22,103,386,0,644
166348801,4,64,57,0,1098
166350059,14,47,23,1,76
166351548,18,226,165,0,477
166353213,29,18,1,0,0
166358397,1,0,2,0,1
166364528,4,22,12,0,429
166364855,8,36,17,0,743
166380396,52,95,1160,2,1179
166384799,1,0,1,0,0
166389441,2,2,2,0,1153
166393229,36,329,512,0,1164
166394915,3,16,5,0,1157
166395697,0,7,5,0,968
166400446,4,1,1,0,0
166409065,0,0,2,0,9
166440323,6,10,9,0,788
166502448,52,116,1269,1,842
166510835,0,1,1,0,0
166543000,0,77,3,0,367
166548502,0,27,3,0,1100
166563088,27,343,72,0,1178
166565064,6,20,1,0,919
166567142,4,7,39,0,133
166578292,106,16,40,4,346
166591841,4,39,1440,0,1167
166595888,8,131,5,0,11
166598766,398,412,6992,6,1169
166603325,2,1,1,0,1061
166605448,2,6,7,0,61
166610127,7,0,1,0,0
166613672,42,261,25,0,120
166613909,10,4,53,0,839
166619764,0,6,2,0,0
166620130,0,1,1,0,723
166623236,705,573,32039,0,1190
166655486,0,3,1,0,32
166670081,15,43,53,0,384
166685538,58,238,51,0,1180
166686611,14,28,1,0,0
166690339,0,1,1,0,5
166699267,9,8,1,0,0
166706064,21,56,295,0,1068
166710613,2,0,1,0,108
166710754,268,63,114,3,887
166713469,176,206,13210,0,1170
166713994,43,2,1,2,0
166719465,23,71,110,0,1116
166720545,6,29,2,0,0
166729135,6,10,1,0,0
166736327,26,153,79,0,1158
166749001,12,12,1,1,1127
166760449,33,62,60,0,1013
166763574,0,0,3,0,34
166768514,3,4,84,0,33
166770479,13,56,15,0,1066
166779688,3,34,11,0,194
166781499,0,1,4,0,0
166789858,20,14,18,5,1180
166791586,131,275,1199,0,1178
166792609,447,358,8252,1,1164
166800258,2,6,12,1,157
166806834,7,52,39,0,1104
166809967,2,18,9,0,1
166814387,153,207,988,0,1173
166838914,1,4,2,0,0
166841599,0,0,1,0,0
166849222,4,81,127,0,674
166861375,0,1,1,0,0
166867091,0,0,10,0,887
166870764,1,1,2,0,1
166873228,0,1,1,0,0
166875405,0,0,1,0,0
166881397,82,558,90,0,1162
166882133,45,17,17,1,8
166885790,1,7,2,0,380
166893835,0,1,3,0,671
166898994,14,42,33,0,505
166921716,0,0,7,0,1114
166933173,0,0,1,0,0
166934612,18,34,28,0,137
166952858,2,59,1,0,723
166953811,5,4,91,0,1167
166955579,1,0,1,0,0
166958882,1,5,1,0,0
166975126,0,3,7,0,32
166977754,53,179,981,0,1191
166986522,6,0,26,2,75
166987995,12,20,5,1,596
166988754,156,206,1627,0,1171
166990214,9,219,6,0,985
166994600,174,194,38,1,55
166995913,2,2,4,0,1
167004869,0,2,17,0,757
167010365,5,3,3,0,84
167011204,2,6,1,0,1075
167015022,0,0,1,0,20
167020604,20,28,230,0,1090
167021099,85,135,2176,0,1186
167029456,1,0,1,0,0
167036231,0,0,1,0,0
167036500,16,41,2631,0,1045
167038358,0,0,1,0,0
167041278,6,46,19,0,1080
167046149,4,4,2,0,2
167048221,1,0,1,0,0
167052686,43,138,472,0,1166
167067387,63,413,84,0,1088
167071166,46,28,2380,1,1166
167073333,48,56,90,1,981
167086485,31,34,325,0,1185
167090969,17,89,86,1,8
167102355,31,56,1079,0,1188
167105752,8,17,2,0,12
167122405,1926,984,4736,36,1161
167127449,4,0,1,0,0
167128747,0,1,1,0,0
167131686,8,19,832,0,368
167134742,0,6,9,0,2
167138174,193,93,1298,1,1173
167141957,614,614,574,6,1182
167149059,3,1,1,0,0
167156499,0,0,1,0,448
167160416,4,0,1,0,0
167168508,13,25,55,0,1032
167171071,2,0,44,0,1182
167185324,1518,397,1724,41,1163
167187608,1,3,31,0,263
167201221,74,76,10354,0,980
167214309,13,61,52,0,285
167219111,6,8,1,0,0
167220947,1,0,11,0,0
167222229,22,114,49,0,1165
167222355,22,159,45,0,788
167227298,7,0,1,0,0
167228852,6,2,7,0,14
167233499,4,2,2,1,473
167234531,0,4,2,0,0
167240193,1,0,3,0,124
167241878,0,1,3,0,0
167245184,0,0,3,0,3
167247348,31,53,40,1,397
167263243,224,134,889,1,1119
167265921,1,0,22,0,257
167271562,5,8,1,1,1
167273432,54,367,54,1,1152
167280783,0,0,2,0,1
167285029,19,45,13,1,346
167286690,9,46,3,0,15
167293489,18,22,57,4,174
167296279,3,16,1,0,0
167297941,0,0,1,0,0
167302308,255,112,13112,0,1182
167305114,6,3,3,0,330
167305503,0,6,2,0,789
167311141,1,4,6,0,865
167312030,19,14,18,1,304
167321118,0,4,2,0,2
167330977,7,19,2,0,705
167331080,6,0,1,0,695
167341971,76,262,106,0,953
167347036,15,237,602,0,826
167352159,2,4,181,0,577
167356544,26,55,206,0,284
167356997,6,6,107,0,389
167367341,2,24,1,0,1144
167386884,105,159,625,1,1174
167405690,0,3,2,0,9
167406448,7,14,6,0,1129
167412052,20,40,6,0,1036
167418463,0,0,2,0,220
167420164,12,1,2,0,0
167426479,4,36,1,0,453
167437091,0,1,1,0,0
167437870,0,1,2,0,0
167443639,27,118,57,0,1163
167450693,553,824,2041,1,1159
167453176,15,98,91,0,957
167455020,461,778,483,9,842
167465273,1,2,1,0,0
167467494,0,0,1,0,0
167474023,0,0,1,0,0
167491647,36,284,835,0,1011
167492554,24,4,2,0,0
167506233,28,41,63,0,1099
167521795,98,381,1053,1,1166
167523955,0,1,1,0,54
167524004,16,28,7,0,980
167526652,2,0,1,0,0
167531138,0,5,12,0,1183
167535039,2235,2665,512,1,1040
167559013,80,87,217,1,52
167565455,2,16,2,0,517
167567721,4,6,1,0,0
167576209,1,9,1,0,182
167585716,0,1,1,0,1
167587484,0,1,1,0,0
167589471,3,10,6,0,301
167595538,1,1,5,0,2
167596897,0,1,5,0,2
167597024,47,115,62,2,644
167602659,1,0,1,0,159
167602766,69,113,5170,7,1153
167612495,4,4,1,0,1015
167615580,9,87,114,0,1165
167617092,62,180,78,0,1166
167619733,0,0,1,0,0
167629122,0,1,8,0,50
167640737,0,4,7,0,918
167641078,17,27,62,0,512
167644764,0,0,1,0,0
167647130,0,0,1,0,0
167652869,1,0,1,0,49
167654006,3,1,2,0,7
167663028,59,132,328,0,1163
167664071,4,3,1,0,0
167665608,1,4,9,1,388
167680031,362,300,30924,3,1171
167685892,1,0,2,0,1035
167690002,37,481,355,0,1126
167691371,472,339,13619,1,1166
167710809,0,10,8,0,305
167717467,0,4,7,0,1048
167749888,0,5,3,0,1112
167760138,2,1,4,0,10
167762892,4,1,4,0,906
167764111,0,1,2,0,0
167768768,13,20,2,0,1030
167770444,1,49,1,0,1
167791404,2,3,2,0,0
167792376,1,1,2,1,74
167800985,111,139,834,0,341
167801245,3,0,1,0,0
167808649,5,0,1,0,0
167813083,0,4,5,0,532
167817677,6,4,26,0,836
167825952,2,0,3,0,76
167827335,0,2,10,0,1
